ORF1	ORF2	ORF3	ORF4	ORF5	ORF6
YGR132C	YER017C	YOL081W	YBR262C	YCR003W	YGL064C
YGR132C	YER017C	YOL081W	YBR262C	YMR115W	YGL080W
YGR132C	YER017C	YOL081W	YBR262C	YPR024W	YLR168C
YGR132C	YER017C	YJL183W	YOL081W	YMR115W	YGL080W
YGR132C	YER017C	YGL167C	YOL081W	YMR115W	YGL080W
YGR132C	YER017C	YBR262C	YEL036C	YMR115W	YGL080W
YGR132C	YER017C	YBR262C	YOL081W	YCR003W	YGL064C
YGR132C	YER017C	YBR262C	YOL081W	YMR115W	YGL080W
YGR132C	YER017C	YBR262C	YOL081W	YPR024W	YLR168C
YGR132C	YGL167C	YEL036C	YOL081W	YIL146C	YPR024W
YGR132C	YGL167C	YOL081W	YEL036C	YIL146C	YPR024W
YGR132C	YGL167C	YOL081W	YBR262C	YIL146C	YPR024W
YGR132C	YGL167C	YBR262C	YOL081W	YIL146C	YPR024W
YGR132C	YBR262C	YEL036C	YOL081W	YJL066C	YAL010C
YGR132C	YBR262C	YEL036C	YOL081W	YIL136W	YCL044C
YGR132C	YBR262C	YOL081W	YEL036C	YJL066C	YAL010C
YGR132C	YBR262C	YOL081W	YEL036C	YIL136W	YCL044C
YGR132C	YBR262C	YOL081W	YER017C	YJL066C	YAL010C
YGR132C	YBR262C	YOL081W	YER017C	YIL136W	YCL044C
YGR132C	YBR262C	YOL081W	YMR089C	YJL066C	YAL010C
YGR132C	YBR262C	YOL081W	YMR089C	YIL136W	YCL044C
YGR132C	YBR262C	YER017C	YOL081W	YJL066C	YAL010C
YGR132C	YBR262C	YER017C	YOL081W	YIL136W	YCL044C
YGR132C	YBR262C	YMR089C	YOL081W	YJL066C	YAL010C
YGR132C	YBR262C	YMR089C	YOL081W	YIL136W	YCL044C
YGR132C	YCL057C-A	YOL081W	YBR262C	YKR065C	YJL143W
YGR132C	YCL057C-A	YMR089C	YBR262C	YKR065C	YJL143W
YGR132C	YCL057C-A	YBR262C	YOL081W	YKR065C	YJL143W
YGR132C	YCL057C-A	YBR262C	YMR089C	YKR065C	YJL143W
YGR132C	YER017C	YPR024W	YHR005C-A	YGR181W	YLR008C
YGR132C	YER017C	YPR024W	YJL054W	YGR181W	YJL104W
YGR132C	YER017C	YPR024W	YJL054W	YPR140W	YJL104W
YGR132C	YER017C	YPR024W	YJL054W	YLR168C	YJL104W
YGR132C	YBR262C	YIL136W	YGR082W	YCL044C	YML013W
YGR132C	YBR262C	YIL136W	YGR082W	YCL044C	YLR168C
YGR132C	YBR262C	YIL136W	YCL044C	YGR082W	YMR115W
YGR132C	YOL081W	YEL036C	YFL033C	YMR037C	YBR173C
YGR132C	YOL081W	YGL167C	YFL033C	YMR037C	YBR173C
YGR132C	YOL081W	YBR262C	YFL033C	YMR037C	YBR173C
YGR132C	YOL081W	YBR262C	YFL033C	YOL001W	YHL020C
YGR132C	YER017C	YOL081W	YFL018C	YCR079W	YOR187W
YGR132C	YER017C	YOL081W	YCL044C	YIL073C	YCR005C
YGR132C	YER017C	YOL081W	YMR115W	YIL073C	YCR005C
YGR132C	YER017C	YOL081W	YPR024W	YHR005C-A	YLR008C
YGR132C	YER017C	YOL081W	YPR024W	YJL054W	YJL104W
YGR132C	YER017C	YBR262C	YCL044C	YIL073C	YCR005C
YGR132C	YER017C	YBR262C	YCL044C	YIL073C	YNL001W
YGR132C	YER017C	YBR262C	YMR115W	YIL073C	YCR005C
YGR132C	YER017C	YBR262C	YMR115W	YIL073C	YNL001W
YGR132C	YER017C	YBR262C	YPR024W	YHR005C-A	YLR008C
YGR132C	YER017C	YBR262C	YPR024W	YJL054W	YJL104W
YGR132C	YER017C	YBR262C	YPR024W	YLR168C	YKL053C-A
YGR132C	YBR262C	YEL036C	YJL066C	YAL010C	YAL048C
YGR132C	YBR262C	YEL036C	YIL136W	YCL044C	YMR115W
YGR132C	YBR262C	YOL081W	YJL066C	YAL010C	YAL048C
YGR132C	YBR262C	YOL081W	YJL066C	YGL080W	YMR115W
YGR132C	YBR262C	YOL081W	YIL136W	YGR082W	YML013W
YGR132C	YBR262C	YOL081W	YIL136W	YGR082W	YLR168C
YGR132C	YBR262C	YOL081W	YIL136W	YCL044C	YMR115W
YGR132C	YBR262C	YER017C	YIL136W	YCL044C	YMR115W
YGR132C	YBR262C	YMR089C	YJL066C	YAL010C	YAL048C
YGR132C	YBR262C	YMR089C	YIL136W	YCL044C	YMR115W
YGR132C	YOL081W	YFL033C	YNL098C	YMR037C	YBR173C
YGR132C	YER017C	YFL018C	YCL044C	YCR079W	YOR187W
YGR132C	YER017C	YFL018C	YMR115W	YCR079W	YOR187W
YGR132C	YER017C	YFL018C	YPR024W	YCR079W	YOR187W
YGR132C	YER017C	YCL044C	YMR115W	YIL073C	YCR005C
YGR132C	YER017C	YCL044C	YMR115W	YIL073C	YNL001W
YGR132C	YER017C	YMR115W	YCL044C	YIL073C	YCR005C
YGR132C	YER017C	YMR115W	YCL044C	YIL073C	YNL001W
YGR132C	YER017C	YPR024W	YFL018C	YHR005C-A	YLR008C
YGR132C	YER017C	YPR024W	YFL018C	YJL054W	YJL104W
YGR132C	YER017C	YPR024W	YMR115W	YHR005C-A	YLR008C
YGR132C	YER017C	YPR024W	YMR115W	YJL054W	YJL104W
YGR132C	YER017C	YPR024W	YMR115W	YLR168C	YKL053C-A
YGR132C	YBR262C	YJL066C	YFR011C	YAL010C	YAL048C
YGR132C	YBR262C	YJL066C	YLL009C	YAL010C	YAL048C
YGR132C	YBR262C	YJL066C	YLL009C	YGL080W	YMR115W
YGR132C	YBR262C	YIL136W	YFR011C	YCL044C	YMR115W
YGR132C	YBR262C	YIL136W	YLL009C	YGR082W	YML013W
YGR132C	YBR262C	YIL136W	YLL009C	YCL044C	YMR115W
YGR132C	YBR262C	YIL136W	YNL100W	YCL044C	YMR115W
YGR132C	YOL081W	YFL033C	YMR037C	YBR173C	YFR050C
YGR132C	YOL081W	YFL033C	YMR037C	YBR173C	YER094C
YGR132C	YOL081W	YNL098C	YOR322C	YDR069C	YKL041W
YGR132C	YER017C	YCL044C	YIL136W	YGR082W	YLR168C
YGR132C	YER017C	YPR024W	YLR168C	YKL053C-A	YLR193C
YGR132C	YBR262C	YIL136W	YCL044C	YMR115W	YGL080W
YGR132C	YOL081W	YBR262C	YAL056W	YFL033C	YGL121C
YGR132C	YER017C	YEL036C	YMR115W	YCL044C	YGL080W
YGR132C	YER017C	YEL036C	YMR115W	YPR024W	YGL080W
YGR132C	YER017C	YEL036C	YPR024W	YMR115W	YLR168C
YGR132C	YER017C	YOL081W	YCR003W	YFL018C	YGL064C
YGR132C	YER017C	YOL081W	YMR115W	YFL018C	YGL080W
YGR132C	YER017C	YOL081W	YMR115W	YCL044C	YGL080W
YGR132C	YER017C	YOL081W	YMR115W	YCR003W	YGL080W
YGR132C	YER017C	YOL081W	YMR115W	YPR024W	YGL080W
YGR132C	YER017C	YOL081W	YPR024W	YFL018C	YLR168C
YGR132C	YER017C	YOL081W	YPR024W	YMR115W	YLR168C
YGR132C	YER017C	YBR262C	YCR003W	YFL018C	YGL064C
YGR132C	YER017C	YBR262C	YCR003W	YCL044C	YGL064C
YGR132C	YER017C	YBR262C	YCR003W	YMR115W	YGL064C
YGR132C	YER017C	YBR262C	YCR003W	YPR024W	YGL064C
YGR132C	YER017C	YBR262C	YMR115W	YFL018C	YGL080W
YGR132C	YER017C	YBR262C	YMR115W	YCL044C	YGL080W
YGR132C	YER017C	YBR262C	YMR115W	YCR003W	YGL080W
YGR132C	YER017C	YBR262C	YMR115W	YPR024W	YGL080W
YGR132C	YER017C	YBR262C	YPR024W	YFL018C	YLR168C
YGR132C	YER017C	YBR262C	YPR024W	YCR003W	YLR168C
YGR132C	YER017C	YBR262C	YPR024W	YMR115W	YLR168C
YGR132C	YGL167C	YOL081W	YIL146C	YER040W	YPR024W
YGR132C	YBR262C	YEL036C	YJL066C	YLL009C	YAL010C
YGR132C	YBR262C	YOL081W	YJL066C	YFR011C	YAL010C
YGR132C	YBR262C	YOL081W	YJL066C	YLL009C	YAL010C
YGR132C	YBR262C	YOL081W	YJL066C	YLL009C	YGL080W
YGR132C	YBR262C	YOL081W	YIL136W	YFR011C	YCL044C
YGR132C	YBR262C	YOL081W	YIL136W	YLL009C	YCL044C
YGR132C	YBR262C	YER017C	YJL066C	YFR011C	YAL010C
YGR132C	YBR262C	YER017C	YJL066C	YLL009C	YAL010C
YGR132C	YBR262C	YER017C	YIL136W	YFR011C	YCL044C
YGR132C	YBR262C	YER017C	YIL136W	YLL009C	YCL044C
YGR132C	YBR262C	YER017C	YIL136W	YNL100W	YCL044C
YGR132C	YBR262C	YMR089C	YJL066C	YLL009C	YAL010C
YGR132C	YBR262C	YMR089C	YIL136W	YFR011C	YCL044C
YGR132C	YBR262C	YMR089C	YIL136W	YLL009C	YCL044C
YGR132C	YCL057C-A	YOL081W	YKR065C	YOR187W	YJL143W
YGR132C	YBR262C	YOL081W	YJL066C	YAL010C	YGL080W
YGR132C	YER017C	YBL022C	YEL036C	YCL044C	YMR115W
YGR132C	YER017C	YBL022C	YOL081W	YFL018C	YCL044C
YGR132C	YER017C	YBL022C	YOL081W	YCL044C	YMR115W
YGR132C	YER017C	YBL022C	YBR262C	YFL018C	YCL044C
YGR132C	YER017C	YBL022C	YBR262C	YFL018C	YPR024W
YGR132C	YER017C	YBL022C	YBR262C	YCL044C	YMR115W
YGR132C	YER017C	YBL022C	YBR262C	YMR115W	YPR024W
YGR132C	YER017C	YEL036C	YBL022C	YCL044C	YMR115W
YGR132C	YER017C	YEL036C	YOL081W	YFL018C	YCL044C
YGR132C	YER017C	YEL036C	YOL081W	YFL018C	YMR115W
YGR132C	YER017C	YEL036C	YOL081W	YFL018C	YPR024W
YGR132C	YER017C	YEL036C	YOL081W	YCL044C	YMR115W
YGR132C	YER017C	YEL036C	YOL081W	YMR115W	YPR024W
YGR132C	YER017C	YEL036C	YGL167C	YCL044C	YMR115W
YGR132C	YER017C	YEL036C	YBR262C	YFL018C	YCL044C
YGR132C	YER017C	YEL036C	YBR262C	YFL018C	YMR115W
YGR132C	YER017C	YEL036C	YBR262C	YFL018C	YPR024W
YGR132C	YER017C	YEL036C	YBR262C	YCL044C	YMR115W
YGR132C	YER017C	YEL036C	YBR262C	YMR115W	YPR024W
YGR132C	YER017C	YEL036C	YCL057C-A	YCL044C	YMR115W
YGR132C	YER017C	YOL081W	YBL022C	YFL018C	YCL044C
YGR132C	YER017C	YOL081W	YBL022C	YCL044C	YMR115W
YGR132C	YER017C	YOL081W	YEL036C	YFL018C	YCL044C
YGR132C	YER017C	YOL081W	YEL036C	YFL018C	YMR115W
YGR132C	YER017C	YOL081W	YEL036C	YFL018C	YPR024W
YGR132C	YER017C	YOL081W	YEL036C	YCL044C	YMR115W
YGR132C	YER017C	YOL081W	YEL036C	YMR115W	YPR024W
YGR132C	YER017C	YOL081W	YPL050C	YFL018C	YCL044C
YGR132C	YER017C	YOL081W	YPL050C	YCL044C	YMR115W
YGR132C	YER017C	YOL081W	YJL183W	YFL018C	YCL044C
YGR132C	YER017C	YOL081W	YJL183W	YFL018C	YMR115W
YGR132C	YER017C	YOL081W	YJL183W	YFL018C	YPR024W
YGR132C	YER017C	YOL081W	YJL183W	YCL044C	YMR115W
YGR132C	YER017C	YOL081W	YJL183W	YMR115W	YPR024W
YGR132C	YER017C	YOL081W	YGL167C	YFL018C	YCL044C
YGR132C	YER017C	YOL081W	YGL167C	YFL018C	YMR115W
YGR132C	YER017C	YOL081W	YGL167C	YFL018C	YPR024W
YGR132C	YER017C	YOL081W	YGL167C	YCL044C	YMR115W
YGR132C	YER017C	YOL081W	YGL167C	YMR115W	YPR024W
YGR132C	YER017C	YOL081W	YBR262C	YFL018C	YCL044C
YGR132C	YER017C	YOL081W	YBR262C	YFL018C	YMR115W
YGR132C	YER017C	YOL081W	YBR262C	YFL018C	YPR024W
YGR132C	YER017C	YOL081W	YBR262C	YCL044C	YMR115W
YGR132C	YER017C	YOL081W	YBR262C	YMR115W	YPR024W
YGR132C	YER017C	YOL081W	YCL057C-A	YFL018C	YCL044C
YGR132C	YER017C	YOL081W	YCL057C-A	YCL044C	YMR115W
YGR132C	YER017C	YPL050C	YOL081W	YFL018C	YCL044C
YGR132C	YER017C	YPL050C	YOL081W	YCL044C	YMR115W
YGR132C	YER017C	YPL050C	YBR262C	YFL018C	YCL044C
YGR132C	YER017C	YPL050C	YBR262C	YFL018C	YPR024W
YGR132C	YER017C	YPL050C	YBR262C	YCL044C	YMR115W
YGR132C	YER017C	YPL050C	YBR262C	YMR115W	YPR024W
YGR132C	YER017C	YJL183W	YOL081W	YFL018C	YCL044C
YGR132C	YER017C	YJL183W	YOL081W	YFL018C	YMR115W
YGR132C	YER017C	YJL183W	YOL081W	YFL018C	YPR024W
YGR132C	YER017C	YJL183W	YOL081W	YCL044C	YMR115W
YGR132C	YER017C	YJL183W	YOL081W	YMR115W	YPR024W
YGR132C	YER017C	YJL183W	YBR262C	YFL018C	YCL044C
YGR132C	YER017C	YJL183W	YBR262C	YFL018C	YPR024W
YGR132C	YER017C	YJL183W	YBR262C	YCL044C	YMR115W
YGR132C	YER017C	YJL183W	YBR262C	YMR115W	YPR024W
YGR132C	YER017C	YGL167C	YEL036C	YCL044C	YMR115W
YGR132C	YER017C	YGL167C	YOL081W	YFL018C	YCL044C
YGR132C	YER017C	YGL167C	YOL081W	YFL018C	YMR115W
YGR132C	YER017C	YGL167C	YOL081W	YFL018C	YPR024W
YGR132C	YER017C	YGL167C	YOL081W	YCL044C	YMR115W
YGR132C	YER017C	YGL167C	YOL081W	YMR115W	YPR024W
YGR132C	YER017C	YGL167C	YBR262C	YFL018C	YCL044C
YGR132C	YER017C	YGL167C	YBR262C	YFL018C	YPR024W
YGR132C	YER017C	YGL167C	YBR262C	YCL044C	YMR115W
YGR132C	YER017C	YGL167C	YBR262C	YMR115W	YPR024W
YGR132C	YER017C	YBR262C	YBL022C	YFL018C	YCL044C
YGR132C	YER017C	YBR262C	YBL022C	YFL018C	YPR024W
YGR132C	YER017C	YBR262C	YBL022C	YCL044C	YMR115W
YGR132C	YER017C	YBR262C	YBL022C	YMR115W	YPR024W
YGR132C	YER017C	YBR262C	YEL036C	YFL018C	YCL044C
YGR132C	YER017C	YBR262C	YEL036C	YFL018C	YMR115W
YGR132C	YER017C	YBR262C	YEL036C	YFL018C	YPR024W
YGR132C	YER017C	YBR262C	YEL036C	YCL044C	YMR115W
YGR132C	YER017C	YBR262C	YEL036C	YMR115W	YPR024W
YGR132C	YER017C	YBR262C	YOL081W	YFL018C	YCL044C
YGR132C	YER017C	YBR262C	YOL081W	YFL018C	YMR115W
YGR132C	YER017C	YBR262C	YOL081W	YFL018C	YPR024W
YGR132C	YER017C	YBR262C	YOL081W	YCL044C	YMR115W
YGR132C	YER017C	YBR262C	YOL081W	YMR115W	YPR024W
YGR132C	YER017C	YBR262C	YPL050C	YFL018C	YCL044C
YGR132C	YER017C	YBR262C	YPL050C	YFL018C	YPR024W
YGR132C	YER017C	YBR262C	YPL050C	YCL044C	YMR115W
YGR132C	YER017C	YBR262C	YPL050C	YMR115W	YPR024W
YGR132C	YER017C	YBR262C	YJL183W	YFL018C	YCL044C
YGR132C	YER017C	YBR262C	YJL183W	YFL018C	YPR024W
YGR132C	YER017C	YBR262C	YJL183W	YCL044C	YMR115W
YGR132C	YER017C	YBR262C	YJL183W	YMR115W	YPR024W
YGR132C	YER017C	YBR262C	YGL167C	YFL018C	YCL044C
YGR132C	YER017C	YBR262C	YGL167C	YFL018C	YPR024W
YGR132C	YER017C	YBR262C	YGL167C	YCL044C	YMR115W
YGR132C	YER017C	YBR262C	YGL167C	YMR115W	YPR024W
YGR132C	YER017C	YBR262C	YCL057C-A	YFL018C	YCL044C
YGR132C	YER017C	YBR262C	YCL057C-A	YFL018C	YPR024W
YGR132C	YER017C	YBR262C	YCL057C-A	YCL044C	YMR115W
YGR132C	YER017C	YBR262C	YCL057C-A	YMR115W	YPR024W
YGR132C	YER017C	YCL057C-A	YEL036C	YCL044C	YMR115W
YGR132C	YER017C	YCL057C-A	YOL081W	YFL018C	YCL044C
YGR132C	YER017C	YCL057C-A	YOL081W	YCL044C	YMR115W
YGR132C	YER017C	YCL057C-A	YBR262C	YFL018C	YCL044C
YGR132C	YER017C	YCL057C-A	YBR262C	YFL018C	YPR024W
YGR132C	YER017C	YCL057C-A	YBR262C	YCL044C	YMR115W
YGR132C	YER017C	YCL057C-A	YBR262C	YMR115W	YPR024W
YGR132C	YCL057C-A	YEL036C	YOL081W	YOR187W	YKR065C
YGR132C	YCL057C-A	YOL081W	YEL036C	YOR187W	YKR065C
YGR132C	YCL057C-A	YOL081W	YJL183W	YBR282W	YOR187W
YGR132C	YCL057C-A	YOL081W	YJL183W	YBR282W	YKR065C
YGR132C	YCL057C-A	YOL081W	YJL183W	YOR187W	YKR065C
YGR132C	YCL057C-A	YOL081W	YMR089C	YOR187W	YKR065C
YGR132C	YCL057C-A	YOL081W	YGL167C	YOR187W	YKR065C
YGR132C	YCL057C-A	YOL081W	YBR262C	YBR282W	YKR065C
YGR132C	YCL057C-A	YOL081W	YBR262C	YOR187W	YKR065C
YGR132C	YCL057C-A	YOL081W	YBR262C	YLL009C	YKR065C
YGR132C	YCL057C-A	YJL183W	YOL081W	YBR282W	YOR187W
YGR132C	YCL057C-A	YJL183W	YOL081W	YBR282W	YKR065C
YGR132C	YCL057C-A	YJL183W	YOL081W	YOR187W	YKR065C
YGR132C	YCL057C-A	YMR089C	YOL081W	YOR187W	YKR065C
YGR132C	YCL057C-A	YMR089C	YBR262C	YOR187W	YKR065C
YGR132C	YCL057C-A	YMR089C	YBR262C	YLL009C	YKR065C
YGR132C	YCL057C-A	YGL167C	YOL081W	YOR187W	YKR065C
YGR132C	YCL057C-A	YBR262C	YOL081W	YBR282W	YKR065C
YGR132C	YCL057C-A	YBR262C	YOL081W	YOR187W	YKR065C
YGR132C	YCL057C-A	YBR262C	YOL081W	YLL009C	YKR065C
YGR132C	YCL057C-A	YBR262C	YMR089C	YOR187W	YKR065C
YGR132C	YCL057C-A	YBR262C	YMR089C	YLL009C	YKR065C
YGR132C	YER017C	YBL022C	YFL018C	YCL044C	YMR115W
YGR132C	YER017C	YEL036C	YFL018C	YCL044C	YMR115W
YGR132C	YER017C	YEL036C	YFL018C	YMR115W	YPR024W
YGR132C	YER017C	YOL081W	YFL018C	YCL044C	YMR115W
YGR132C	YER017C	YOL081W	YFL018C	YMR115W	YPR024W
YGR132C	YER017C	YPL050C	YFL018C	YCL044C	YMR115W
YGR132C	YER017C	YJL183W	YFL018C	YCL044C	YMR115W
YGR132C	YER017C	YGL167C	YFL018C	YCL044C	YMR115W
YGR132C	YER017C	YBR262C	YFL018C	YCL044C	YMR115W
YGR132C	YER017C	YBR262C	YFL018C	YMR115W	YPR024W
YGR132C	YER017C	YCL057C-A	YFL018C	YCL044C	YMR115W
YGR132C	YCL057C-A	YOL081W	YBR282W	YOR187W	YKR065C
YLR015W	YLR246W	YNL098C	YOL081W	YFL033C	YMR037C
YPR101W	YKL095W	YCR063W	YMR240C	YDR088C	YDR482C
YPR101W	YKL095W	YCR063W	YMR240C	YDR088C	YKR086W
YPR101W	YKL095W	YCR063W	YMR240C	YDR482C	YKR086W
YPR101W	YKL095W	YCR063W	YDR088C	YDR482C	YKR086W
YPR101W	YKL095W	YMR240C	YDR088C	YDR482C	YKR086W
YPR101W	YCR063W	YMR240C	YDR088C	YDR482C	YKR086W
YPR101W	YMR240C	YKL095W	YCR063W	YDR088C	YBR152W
YPR101W	YMR240C	YKL095W	YCR063W	YDR088C	YGL174W
YPR101W	YMR240C	YKL095W	YCR063W	YDR088C	YLR090W
YPR101W	YMR240C	YKL095W	YCR063W	YDR482C	YBR152W
YPR101W	YMR240C	YKL095W	YCR063W	YDR482C	YGL174W
YPR101W	YMR240C	YKL095W	YCR063W	YDR482C	YLR090W
YPR101W	YMR240C	YKL095W	YCR063W	YDR163W	YBR152W
YPR101W	YMR240C	YKL095W	YCR063W	YDR163W	YGL174W
YPR101W	YMR240C	YKL095W	YCR063W	YDR163W	YLR090W
YPR101W	YMR240C	YKL095W	YCR063W	YKR086W	YBR152W
YPR101W	YMR240C	YKL095W	YCR063W	YKR086W	YGL174W
YPR101W	YMR240C	YKL095W	YCR063W	YKR086W	YLR090W
YPR101W	YMR240C	YKL095W	YDR088C	YCR063W	YBR152W
YPR101W	YMR240C	YKL095W	YDR088C	YCR063W	YGL174W
YPR101W	YMR240C	YKL095W	YDR088C	YCR063W	YLR090W
YPR101W	YMR240C	YKL095W	YDR088C	YDR482C	YGL174W
YPR101W	YMR240C	YKL095W	YDR088C	YDR163W	YGL174W
YPR101W	YMR240C	YKL095W	YDR088C	YKR086W	YGL174W
YPR101W	YMR240C	YKL095W	YDR482C	YCR063W	YBR152W
YPR101W	YMR240C	YKL095W	YDR482C	YCR063W	YGL174W
YPR101W	YMR240C	YKL095W	YDR482C	YCR063W	YLR090W
YPR101W	YMR240C	YKL095W	YDR482C	YDR088C	YGL174W
YPR101W	YMR240C	YKL095W	YDR482C	YDR163W	YGL174W
YPR101W	YMR240C	YKL095W	YDR482C	YKR086W	YGL174W
YPR101W	YMR240C	YKL095W	YDR163W	YCR063W	YBR152W
YPR101W	YMR240C	YKL095W	YDR163W	YCR063W	YGL174W
